reporter,partner,value,year
United States of America,"China, mainland",33600,1986
United States of America,"China, mainland",1915937,1987
United States of America,"China, mainland",6592275,1988
United States of America,"China, mainland",7301251,1989
United States of America,"China, mainland",3691676,1990
United States of America,"China, mainland",4372816,1991
United States of America,"China, mainland",2982448,1992
United States of America,"China, mainland",2685949,1993
United States of America,"China, mainland",1913484,1994
United States of America,"China, mainland",3701245,1995
United States of America,"China, mainland",2214039,1996
United States of America,"China, mainland",296126,1997
United States of America,"China, mainland",315839,1998
United States of America,"China, mainland",258341,1999
United States of America,"China, mainland",135305,2000
United States of America,"China, mainland",135633,2001
United States of America,"China, mainland",169349,2002
United States of America,"China, mainland",235553,2003
United States of America,"China, mainland",2939670,2004
United States of America,"China, mainland",432086,2005
United States of America,"China, mainland",149498,2006
United States of America,"China, mainland",20197,2007
United States of America,"China, mainland",373,2008
United States of America,"China, mainland",414085,2009
United States of America,"China, mainland",201826,2010
United States of America,"China, mainland",478969,2011
United States of America,"China, mainland",594446,2012
United States of America,"China, mainland",4404625,2013
United States of America,"China, mainland",575181.05,2014
United States of America,"China, mainland",548765.02,2015
United States of America,"China, mainland",926331.62,2016
United States of America,"China, mainland",1522222.95,2017
United States of America,"China, mainland",396987,2018
United States of America,"China, mainland",236062,2019
United States of America,"China, mainland",2252243,2020
United States of America,"China, mainland",2738215,2021
United States of America,"China, Taiwan Province of",700453,1986
United States of America,"China, Taiwan Province of",834107,1987
United States of America,"China, Taiwan Province of",828519,1988
United States of America,"China, Taiwan Province of",743607,1989
United States of America,"China, Taiwan Province of",680847,1990
United States of America,"China, Taiwan Province of",785516,1991
United States of America,"China, Taiwan Province of",761143,1992
United States of America,"China, Taiwan Province of",860403,1993
United States of America,"China, Taiwan Province of",823717,1994
United States of America,"China, Taiwan Province of",818505,1995
United States of America,"China, Taiwan Province of",941168,1996
United States of America,"China, Taiwan Province of",908914,1997
United States of America,"China, Taiwan Province of",932150,1998
United States of America,"China, Taiwan Province of",908225,1999
United States of America,"China, Taiwan Province of",960978,2000
United States of America,"China, Taiwan Province of",1062026,2001
United States of America,"China, Taiwan Province of",973389,2002
United States of America,"China, Taiwan Province of",830440,2003
United States of America,"China, Taiwan Province of",1082002,2004
United States of America,"China, Taiwan Province of",970199,2005
United States of America,"China, Taiwan Province of",794565,2006
United States of America,"China, Taiwan Province of",1291849,2007
United States of America,"China, Taiwan Province of",752714,2008
United States of America,"China, Taiwan Province of",861826,2009
United States of America,"China, Taiwan Province of",819693,2010
United States of America,"China, Taiwan Province of",964264,2011
United States of America,"China, Taiwan Province of",996982,2012
United States of America,"China, Taiwan Province of",1056084,2013
United States of America,"China, Taiwan Province of",1044615.55,2014
United States of America,"China, Taiwan Province of",1048791.02,2015
United States of America,"China, Taiwan Province of",1098936.88,2016
United States of America,"China, Taiwan Province of",1109321.04,2017
United States of America,"China, Taiwan Province of",988092.78,2018
United States of America,"China, Taiwan Province of",1284727.99,2019
United States of America,"China, Taiwan Province of",1177416.48,2020
United States of America,"China, Taiwan Province of",951269,2021
United States of America,Egypt,1992697,1986
United States of America,Egypt,2432366,1987
United States of America,Egypt,2754692,1988
United States of America,Egypt,3254905,1989
United States of America,Egypt,1654005,1990
